nsnps	hit1	hit2	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	idx1	idx2	gene	cell_type	gjoka_locus_index	config	p12	H4_over_H3H4
1016	1:67820194	1:67825399	4.78275704682764e-79	1.6219434414907e-09	8.76365739395079e-74	0.000197215596285799	0.999802782781773	1	1	IL12RB2	NK	2	PF10_L10	1e-04	0.999802784403394
1016	1:67839573	1:67825399	3.13235000330778e-08	5.41480542911043e-06	0.00573954353067919	0.992178553914151	0.00207645642624166	2	1	IL12RB2	NK	2	PF10_L10	1e-04	0.00208845457618641
1016	1:67820194	1:67825399	3.52298369775787e-77	1.58883661571253e-07	6.45531893619861e-72	0.0193060182074167	0.98069382290892	1	1	IL12RB2	NK	2	PF10_L20	1e-06	0.980693978725172
1016	1:67839573	1:67825399	3.01231146451513e-08	5.42722829924375e-06	0.00551959160384087	0.99445485810129	2.00929434547556e-05	2	1	IL12RB2	NK	2	PF10_L20	1e-06	2.02045747191993e-05
1016	1:67820194	1:67825399	3.58527994229626e-78	1.61693170863249e-08	6.56946710193628e-73	0.00196474028218495	0.998035243548497	1	1	IL12RB2	NK	2	PF10_L20	1e-05	0.998035259686046
1016	1:67839573	1:67825399	3.01176682717012e-08	5.42624703577e-06	0.00551859364073112	0.994275056888821	0.000200893105743229	2	1	IL12RB2	NK	2	PF10_L20	1e-05	0.000202009013636104
1016	1:67820194	1:67825399	3.59163095437634e-79	1.61979596274359e-09	6.58110434242951e-74	0.000196822064898118	0.999803176315312	1	1	IL12RB2	NK	2	PF10_L20	1e-04	0.999803177934783
1016	1:67839573	1:67825399	3.00633126614558e-08	5.41645388158852e-06	0.00550863382171949	0.992480614271903	0.00200530538918392	2	1	IL12RB2	NK	2	PF10_L20	1e-04	0.00201642411374443
1016	1:67820194	1:67825399	4.69116438616861e-77	1.5908822536047e-07	8.59582810846605e-72	0.01934387995532	0.980655960956467	1	1	IL12RB2	NK	2	PF50_L10	1e-06	0.980656116967296
1016	1:67839573	1:67825399	3.13880241388636e-08	5.42595952995958e-06	0.00575136656812853	0.994222368746578	2.08073377372725e-05	2	1	IL12RB2	NK	2	PF50_L10	1e-06	2.09278154859651e-05
1016	1:67820194	1:67825399	4.77428290967731e-78	1.61906966575033e-08	8.74812985743414e-73	0.00196866167704178	0.998031322132253	1	1	IL12RB2	NK	2	PF50_L10	1e-05	0.998031338291084
1016	1:67839573	1:67825399	3.13821473284183e-08	5.42494362225221e-06	0.00575028973414328	0.994036219520497	0.00020803441959086	2	1	IL12RB2	NK	2	PF50_L10	1e-05	0.000209238744671082
1016	1:67820194	1:67825399	4.78275704682764e-79	1.6219434414907e-09	8.76365739395079e-74	0.000197215596285799	0.999802782781773	1	1	IL12RB2	NK	2	PF50_L10	1e-04	0.999802784403394
1016	1:67839573	1:67825399	3.13235000330778e-08	5.41480542911043e-06	0.00573954353067919	0.992178553914151	0.00207645642624166	2	1	IL12RB2	NK	2	PF50_L10	1e-04	0.00208845457618641
873	1:157669278	1:157668993	3.81688078516055e-25	3.29681182284259e-20	7.91392422559804e-07	0.0589455913053865	0.941053617302193	1	1	FCRL3	B_IN	4	PF10_L5	1e-06	0.941054362045482
873	1:157669278	1:157668993	4.03071737309986e-26	3.4815121137229e-21	8.35729320903379e-08	0.00622479538438796	0.993775121042679	1	1	FCRL3	B_IN	4	PF10_L5	1e-05	0.993775204095388
873	1:157669278	1:157668993	4.05342625210343e-27	3.50112679518573e-22	8.40437782021192e-09	0.000625986559946915	0.999374005035675	1	1	FCRL3	B_IN	4	PF10_L5	1e-04	0.999374013434792
873	1:157669278	1:157668993	3.81688078516055e-25	3.29681182284259e-20	7.91392422559804e-07	0.0589455913053865	0.941053617302193	1	1	FCRL3	B_IN	4	PF10_L10	1e-06	0.941054362045482
873	1:157669278	1:157668993	4.03071737309986e-26	3.4815121137229e-21	8.35729320903379e-08	0.00622479538438796	0.993775121042679	1	1	FCRL3	B_IN	4	PF10_L10	1e-05	0.993775204095388
873	1:157669278	1:157668993	4.05342625210343e-27	3.50112679518573e-22	8.40437782021192e-09	0.000625986559946915	0.999374005035675	1	1	FCRL3	B_IN	4	PF10_L10	1e-04	0.999374013434792
873	1:157669278	1:157668993	3.81688078516055e-25	3.29681182284259e-20	7.91392422559804e-07	0.0589455913053865	0.941053617302193	1	1	FCRL3	B_IN	4	PF10_L20	1e-06	0.941054362045482
873	1:157669278	1:157668993	4.03071737309986e-26	3.4815121137229e-21	8.35729320903379e-08	0.00622479538438796	0.993775121042679	1	1	FCRL3	B_IN	4	PF10_L20	1e-05	0.993775204095388
873	1:157669278	1:157668993	4.05342625210343e-27	3.50112679518573e-22	8.40437782021192e-09	0.000625986559946915	0.999374005035675	1	1	FCRL3	B_IN	4	PF10_L20	1e-04	0.999374013434792
873	1:157669278	1:157668993	3.81688078516055e-25	3.29681182284259e-20	7.91392422559804e-07	0.0589455913053865	0.941053617302193	1	1	FCRL3	B_IN	4	PF50_L10	1e-06	0.941054362045482
873	1:157669278	1:157668993	4.03071737309986e-26	3.4815121137229e-21	8.35729320903379e-08	0.00622479538438796	0.993775121042679	1	1	FCRL3	B_IN	4	PF50_L10	1e-05	0.993775204095388
873	1:157669278	1:157668993	4.05342625210343e-27	3.50112679518573e-22	8.40437782021192e-09	0.000625986559946915	0.999374005035675	1	1	FCRL3	B_IN	4	PF50_L10	1e-04	0.999374013434792
874	1:157669278	1:157668993	1.0400664771297e-09	8.98352254681816e-05	1.04694576678547e-06	0.0812427570990671	0.918666359689632	1	1	FCRL3	B_MEM	4	PF10_L5	1e-06	0.918749858627166
874	1:157669278	1:157668993	1.12221276130114e-10	9.6930569969891e-06	1.12963538938323e-07	0.00876594532990533	0.991224248537339	1	1	FCRL3	B_MEM	4	PF10_L5	1e-05	0.991233968709228
874	1:157669278	1:157668993	1.13114675783422e-11	9.77022394838406e-07	1.13862847786024e-08	0.000883573149513821	0.999115438430496	1	1	FCRL3	B_MEM	4	PF10_L5	1e-04	0.999116425977144
874	1:157669278	1:157668993	1.0400664771297e-09	8.98352254681816e-05	1.04694576678547e-06	0.0812427570990671	0.918666359689632	1	1	FCRL3	B_MEM	4	PF10_L10	1e-06	0.918749858627166
874	1:157669278	1:157668993	1.12221276130114e-10	9.6930569969891e-06	1.12963538938323e-07	0.00876594532990533	0.991224248537339	1	1	FCRL3	B_MEM	4	PF10_L10	1e-05	0.991233968709228
874	1:157669278	1:157668993	1.13114675783422e-11	9.77022394838406e-07	1.13862847786024e-08	0.000883573149513821	0.999115438430496	1	1	FCRL3	B_MEM	4	PF10_L10	1e-04	0.999116425977144
874	1:157669278	1:157668993	1.0400664771297e-09	8.98352254681816e-05	1.04694576678547e-06	0.0812427570990671	0.918666359689632	1	1	FCRL3	B_MEM	4	PF10_L20	1e-06	0.918749858627166
874	1:157669278	1:157668993	1.12221276130114e-10	9.6930569969891e-06	1.12963538938323e-07	0.00876594532990533	0.991224248537339	1	1	FCRL3	B_MEM	4	PF10_L20	1e-05	0.991233968709228
874	1:157669278	1:157668993	1.13114675783422e-11	9.77022394838406e-07	1.13862847786024e-08	0.000883573149513821	0.999115438430496	1	1	FCRL3	B_MEM	4	PF10_L20	1e-04	0.999116425977144
874	1:157669278	1:157668993	1.0400664771297e-09	8.98352254681816e-05	1.04694576678547e-06	0.0812427570990671	0.918666359689632	1	1	FCRL3	B_MEM	4	PF50_L10	1e-06	0.918749858627166
874	1:157669278	1:157668993	1.12221276130114e-10	9.6930569969891e-06	1.12963538938323e-07	0.00876594532990533	0.991224248537339	1	1	FCRL3	B_MEM	4	PF50_L10	1e-05	0.991233968709228
874	1:157669278	1:157668993	1.13114675783422e-11	9.77022394838406e-07	1.13862847786024e-08	0.000883573149513821	0.999115438430496	1	1	FCRL3	B_MEM	4	PF50_L10	1e-04	0.999116425977144
873	1:157669278	1:157668993	5.50104327891557e-08	0.00475149881295934	9.77467940039783e-07	0.0752281143485776	0.920019354360089	1	1	FCRL3	CD4_NC	4	PF10_L5	1e-06	0.924412654426355
873	1:157669278	1:157668993	5.92773709494951e-09	0.000512005347751781	1.05328619927526e-07	0.00810632568037302	0.99138155771552	1	1	FCRL3	CD4_NC	4	PF10_L5	1e-05	0.991889520808566
873	1:157669278	1:157668993	5.97407559812049e-10	5.16007812950612e-05	1.06151998311271e-08	0.000816969471854528	0.999131418534241	1	1	FCRL3	CD4_NC	4	PF10_L5	1e-04	0.999182988360546
873	1:157669278	1:157668993	5.50104327891557e-08	0.00475149881295934	9.77467940039783e-07	0.0752281143485776	0.920019354360089	1	1	FCRL3	CD4_NC	4	PF10_L10	1e-06	0.924412654426355
873	1:157669278	1:157668993	5.92773709494951e-09	0.000512005347751781	1.05328619927526e-07	0.00810632568037302	0.99138155771552	1	1	FCRL3	CD4_NC	4	PF10_L10	1e-05	0.991889520808566
873	1:157669278	1:157668993	5.97407559812049e-10	5.16007812950612e-05	1.06151998311271e-08	0.000816969471854528	0.999131418534241	1	1	FCRL3	CD4_NC	4	PF10_L10	1e-04	0.999182988360546
873	1:157669278	1:157668993	5.50104327891557e-08	0.00475149881295934	9.77467940039783e-07	0.0752281143485776	0.920019354360089	1	1	FCRL3	CD4_NC	4	PF10_L20	1e-06	0.924412654426355
873	1:157669278	1:157668993	5.92773709494951e-09	0.000512005347751781	1.05328619927526e-07	0.00810632568037302	0.99138155771552	1	1	FCRL3	CD4_NC	4	PF10_L20	1e-05	0.991889520808566
873	1:157669278	1:157668993	5.97407559812049e-10	5.16007812950612e-05	1.06151998311271e-08	0.000816969471854528	0.999131418534241	1	1	FCRL3	CD4_NC	4	PF10_L20	1e-04	0.999182988360546
873	1:157669278	1:157668993	5.50104327891557e-08	0.00475149881295934	9.77467940039783e-07	0.0752281143485776	0.920019354360089	1	1	FCRL3	CD4_NC	4	PF50_L10	1e-06	0.924412654426355
873	1:157669278	1:157668993	5.92773709494951e-09	0.000512005347751781	1.05328619927526e-07	0.00810632568037302	0.99138155771552	1	1	FCRL3	CD4_NC	4	PF50_L10	1e-05	0.991889520808566
873	1:157669278	1:157668993	5.97407559812049e-10	5.16007812950612e-05	1.06151998311271e-08	0.000816969471854528	0.999131418534241	1	1	FCRL3	CD4_NC	4	PF50_L10	1e-04	0.999182988360546
873	1:157669278	1:157670757	8.87974043512536e-35	7.66983170239715e-30	1.15773412203547e-05	0.999987085008679	1.33765010495869e-06	1	1	FCRL3	CD8_ET	4	PF10_L5	1e-06	1.33766559156968e-06
873	1:157669278	1:157628559	4.65251783773531e-08	0.00401858917707503	1.1526650113191e-05	0.995605031112706	0.000364806534925831	1	2	FCRL3	CD8_ET	4	PF10_L5	1e-06	0.000366282713729025
873	1:157669278	1:157670757	8.87963353454079e-35	7.66973936754812e-30	1.15772018441474e-05	0.999975046458146	1.33763400138234e-05	1	1	FCRL3	CD8_ET	4	PF10_L5	1e-05	1.33764948762045e-05
873	1:157669278	1:157628559	4.63729240656682e-08	0.00400543828651558	1.14889289858311e-05	0.992346899408351	0.00363612700322495	1	2	FCRL3	CD8_ET	4	PF10_L5	1e-05	0.00365079213882343
873	1:157669278	1:157670757	8.87856467024195e-35	7.66881614131817e-30	1.15758082666215e-05	0.999854676893035	0.000133747298694142	1	1	FCRL3	CD8_ET	4	PF10_L5	1e-04	0.000133748846945151
873	1:157669278	1:157628559	4.49034521708791e-08	0.00387851338137024	1.11248661498969e-05	0.960901267977029	0.0352090488719974	1	2	FCRL3	CD8_ET	4	PF10_L5	1e-04	0.0353465356963408
873	1:157669278	1:157670757	8.87974043512536e-35	7.66983170239715e-30	1.15773412203547e-05	0.999987085008679	1.33765010495869e-06	1	1	FCRL3	CD8_ET	4	PF10_L10	1e-06	1.33766559156968e-06
873	1:157669278	1:157628559	4.65251783773531e-08	0.00401858917707503	1.1526650113191e-05	0.995605031112706	0.000364806534925831	1	2	FCRL3	CD8_ET	4	PF10_L10	1e-06	0.000366282713729025
873	1:157669278	1:157670757	8.87963353454079e-35	7.66973936754812e-30	1.15772018441474e-05	0.999975046458146	1.33763400138234e-05	1	1	FCRL3	CD8_ET	4	PF10_L10	1e-05	1.33764948762045e-05
873	1:157669278	1:157628559	4.63729240656682e-08	0.00400543828651558	1.14889289858311e-05	0.992346899408351	0.00363612700322495	1	2	FCRL3	CD8_ET	4	PF10_L10	1e-05	0.00365079213882343
873	1:157669278	1:157670757	8.87856467024195e-35	7.66881614131817e-30	1.15758082666215e-05	0.999854676893035	0.000133747298694142	1	1	FCRL3	CD8_ET	4	PF10_L10	1e-04	0.000133748846945151
873	1:157669278	1:157628559	4.49034521708791e-08	0.00387851338137024	1.11248661498969e-05	0.960901267977029	0.0352090488719974	1	2	FCRL3	CD8_ET	4	PF10_L10	1e-04	0.0353465356963408
873	1:157669278	1:157670757	8.87974043512536e-35	7.66983170239715e-30	1.15773412203547e-05	0.999987085008679	1.33765010495869e-06	1	1	FCRL3	CD8_ET	4	PF10_L20	1e-06	1.33766559156968e-06
873	1:157669278	1:157628559	4.65251783773531e-08	0.00401858917707503	1.1526650113191e-05	0.995605031112706	0.000364806534925831	1	2	FCRL3	CD8_ET	4	PF10_L20	1e-06	0.000366282713729025
873	1:157669278	1:157670757	8.87963353454079e-35	7.66973936754812e-30	1.15772018441474e-05	0.999975046458146	1.33763400138234e-05	1	1	FCRL3	CD8_ET	4	PF10_L20	1e-05	1.33764948762045e-05
873	1:157669278	1:157628559	4.63729240656682e-08	0.00400543828651558	1.14889289858311e-05	0.992346899408351	0.00363612700322495	1	2	FCRL3	CD8_ET	4	PF10_L20	1e-05	0.00365079213882343
873	1:157669278	1:157670757	8.87856467024195e-35	7.66881614131817e-30	1.15758082666215e-05	0.999854676893035	0.000133747298694142	1	1	FCRL3	CD8_ET	4	PF10_L20	1e-04	0.000133748846945151
873	1:157669278	1:157628559	4.49034521708791e-08	0.00387851338137024	1.11248661498969e-05	0.960901267977029	0.0352090488719974	1	2	FCRL3	CD8_ET	4	PF10_L20	1e-04	0.0353465356963408
873	1:157669278	1:157670757	1.10982807233574e-34	9.58608485867393e-30	1.15773412203547e-05	0.999987085008679	1.33765010391281e-06	1	1	FCRL3	CD8_ET	4	PF50_L10	1e-06	1.33766559052379e-06
873	1:157669278	1:157628559	5.49293176630242e-08	0.00474449253422301	1.15178260101402e-05	0.994842487183993	0.000401447526456463	1	2	FCRL3	CD8_ET	4	PF50_L10	1e-06	0.000403365961304007
873	1:157669278	1:157670757	1.10981471144185e-34	9.58596945461649e-30	1.15772018441474e-05	0.999975046458146	1.33763400033647e-05	1	1	FCRL3	CD8_ET	4	PF50_L10	1e-05	1.33764948657458e-05
873	1:157669278	1:157628559	5.4731570978927e-08	0.0047274122625888	1.14763615973563e-05	0.991261033573984	0.00400002307025871	1	2	FCRL3	CD8_ET	4	PF50_L10	1e-05	0.00401906921159533
873	1:157669278	1:157670757	1.10968112019423e-34	9.58481556684958e-30	1.15758082666228e-05	0.999854676893149	0.000133747298589583	1	1	FCRL3	CD8_ET	4	PF50_L10	1e-04	0.000133748846840589
873	1:157669278	1:157628559	5.28296911291266e-08	0.00456313833507119	1.10775668892812e-05	0.956815477710577	0.0386102535577705	1	2	FCRL3	CD8_ET	4	PF50_L10	1e-04	0.0387876788241894
873	1:157669278	1:157651017	4.10627294609487e-07	0.0354677286467433	1.11610043451127e-05	0.964021212676331	0.000499487045286955	1	2	FCRL3	NK	4	PF10_L5	1e-06	0.000517860368814394
873	1:157669278	1:157668701	1.25601136273234e-15	1.08487357697404e-10	4.60080862971074e-06	0.391305663185157	0.608689735897725	1	1	FCRL3	NK	4	PF10_L5	1e-06	0.608692536441635
873	1:157669278	1:157651017	4.08789628496352e-07	0.0353090011488404	1.11110558888293e-05	0.959706961923557	0.00497251708208481	1	2	FCRL3	NK	4	PF10_L5	1e-05	0.00515457951610032
873	1:157669278	1:157668701	1.93882542179974e-16	1.67465082951191e-11	7.10197773427287e-07	0.0604033840766507	0.939595905708831	1	1	FCRL3	NK	4	PF10_L5	1e-05	0.939596573023958
873	1:157669278	1:157651017	3.91278861109808e-07	0.0337965173120004	1.06351066437278e-05	0.918597295244132	0.0475951610583626	1	2	FCRL3	NK	4	PF10_L5	1e-04	0.0492605388790798
873	1:157669278	1:157668701	2.05028655389245e-17	1.77092482882027e-12	7.5102633227837e-08	0.0063875914143419	0.993612333481257	1	1	FCRL3	NK	4	PF10_L5	1e-04	0.993612408105922
873	1:157669278	1:157651017	4.07869010279233e-07	0.0352294832075329	1.11637644749186e-05	0.964259619127721	0.000499326031260427	1	2	FCRL3	NK	4	PF10_L10	1e-06	0.000517565588550354
873	1:157669278	1:157668701	1.19858234313388e-15	1.03526954649906e-10	4.60230005603141e-06	0.391435785632272	0.608559611964143	1	1	FCRL3	NK	4	PF10_L10	1e-06	0.608562412813974
873	1:157669278	1:157651017	4.06044273996577e-07	0.0350718725173164	1.1113819699574e-05	0.959945686299831	0.0049709213188795	1	2	FCRL3	NK	4	PF10_L10	1e-05	0.00515165899273626
873	1:157669278	1:157668701	1.85051040196113e-16	1.59836916971512e-11	7.1055644824238e-07	0.0604343954474086	0.939564893980156	1	1	FCRL3	NK	4	PF10_L10	1e-05	0.939565561609545
873	1:157669278	1:157651017	3.88656448372178e-07	0.0335700077141265	1.06378983005227e-05	0.918838424675409	0.0475805410557159	1	2	FCRL3	NK	4	PF10_L10	1e-04	0.0492338651691503
873	1:157669278	1:157668701	1.95695215164554e-17	1.6903077023955e-12	7.51427805420544e-08	0.00639105946547865	0.993608865390053	1	1	FCRL3	NK	4	PF10_L10	1e-04	0.993608940054268
873	1:157669278	1:157651017	4.07869010279233e-07	0.0352294832075329	1.11637644749186e-05	0.964259619127721	0.000499326031260427	1	2	FCRL3	NK	4	PF10_L20	1e-06	0.000517565588550354
873	1:157669278	1:157668701	1.19858234313388e-15	1.03526954649906e-10	4.60230005603141e-06	0.391435785632272	0.608559611964143	1	1	FCRL3	NK	4	PF10_L20	1e-06	0.608562412813974
873	1:157669278	1:157651017	4.06044273996577e-07	0.0350718725173164	1.1113819699574e-05	0.959945686299831	0.0049709213188795	1	2	FCRL3	NK	4	PF10_L20	1e-05	0.00515165899273626
873	1:157669278	1:157668701	1.85051040196113e-16	1.59836916971512e-11	7.1055644824238e-07	0.0604343954474086	0.939564893980156	1	1	FCRL3	NK	4	PF10_L20	1e-05	0.939565561609545
873	1:157669278	1:157651017	3.88656448372178e-07	0.0335700077141265	1.06378983005227e-05	0.918838424675409	0.0475805410557159	1	2	FCRL3	NK	4	PF10_L20	1e-04	0.0492338651691503
873	1:157669278	1:157668701	1.95695215164554e-17	1.6903077023955e-12	7.51427805420544e-08	0.00639105946547865	0.993608865390053	1	1	FCRL3	NK	4	PF10_L20	1e-04	0.993608940054268
873	1:157669278	1:157668701	1.17289971654345e-15	1.01308630532628e-10	4.57286329381262e-06	0.388867516933088	0.61112791010231	1	1	FCRL3	NK	4	PF50_L10	1e-06	0.61113070478139
873	1:157669278	1:157651017	4.28698173506021e-07	0.0370285918370968	1.11425691748944e-05	0.962428566167145	0.000531270728409817	1	2	FCRL3	NK	4	PF50_L10	1e-06	0.000551706008967682
873	1:157669278	1:157668701	1.80441913132993e-16	1.55855806360524e-11	7.03501066282867e-07	0.0598243803122989	0.940174916171047	1	1	FCRL3	NK	4	PF50_L10	1e-05	0.940175577600224
873	1:157669278	1:157651017	4.26658134703965e-07	0.0368523844986905	1.1089545218003e-05	0.957848673504831	0.00528742579312542	1	2	FCRL3	NK	4	PF50_L10	1e-05	0.00548980128247659
873	1:157669278	1:157668701	1.90710243824446e-17	1.64725026000826e-12	7.43534900246142e-08	0.00632287807079274	0.993677047574068	1	1	FCRL3	NK	4	PF50_L10	1e-04	0.993677121459069
873	1:157669278	1:157651017	4.07277107362217e-07	0.0351783578870256	1.05858005062638e-05	0.91433821437967	0.0504724346556913	1	2	FCRL3	NK	4	PF50_L10	1e-04	0.052313305938481
867	1:157669278	1:157625122	2.02668656752431e-09	0.000175054045509755	2.73442835459292e-06	0.228471382526079	0.771350826973369	1	1	FCRL3	NK_R	4	PF10_L5	1e-06	0.771487990209318
867	1:157669278	1:157625122	2.55180860129101e-10	2.20411200321049e-05	3.44292891988121e-07	0.0287669168198552	0.971210697512041	1	1	FCRL3	NK_R	4	PF10_L5	1e-05	0.971232439199077
867	1:157669278	1:157625122	2.61968563114351e-11	2.26274045056524e-06	3.53450937342955e-08	0.0029532104644192	0.997044491423838	1	1	FCRL3	NK_R	4	PF10_L5	1e-04	0.997046782748758
867	1:157669278	1:157625122	2.02668656752431e-09	0.000175054045509755	2.73442835459292e-06	0.228471382526079	0.771350826973369	1	1	FCRL3	NK_R	4	PF10_L10	1e-06	0.771487990209318
867	1:157669278	1:157625122	2.55180860129101e-10	2.20411200321049e-05	3.44292891988121e-07	0.0287669168198552	0.971210697512041	1	1	FCRL3	NK_R	4	PF10_L10	1e-05	0.971232439199077
867	1:157669278	1:157625122	2.61968563114351e-11	2.26274045056524e-06	3.53450937342955e-08	0.0029532104644192	0.997044491423838	1	1	FCRL3	NK_R	4	PF10_L10	1e-04	0.997046782748758
867	1:157669278	1:157625122	2.02668656752431e-09	0.000175054045509755	2.73442835459292e-06	0.228471382526079	0.771350826973369	1	1	FCRL3	NK_R	4	PF10_L20	1e-06	0.771487990209318
867	1:157669278	1:157625122	2.55180860129101e-10	2.20411200321049e-05	3.44292891988121e-07	0.0287669168198552	0.971210697512041	1	1	FCRL3	NK_R	4	PF10_L20	1e-05	0.971232439199077
867	1:157669278	1:157625122	2.61968563114351e-11	2.26274045056524e-06	3.53450937342955e-08	0.0029532104644192	0.997044491423838	1	1	FCRL3	NK_R	4	PF10_L20	1e-04	0.997046782748758
867	1:157669278	1:157625122	2.02668656752431e-09	0.000175054045509755	2.73442835459292e-06	0.228471382526079	0.771350826973369	1	1	FCRL3	NK_R	4	PF50_L10	1e-06	0.771487990209318
867	1:157669278	1:157625122	2.55180860129101e-10	2.20411200321049e-05	3.44292891988121e-07	0.0287669168198552	0.971210697512041	1	1	FCRL3	NK_R	4	PF50_L10	1e-05	0.971232439199077
867	1:157669278	1:157625122	2.61968563114351e-11	2.26274045056524e-06	3.53450937342955e-08	0.0029532104644192	0.997044491423838	1	1	FCRL3	NK_R	4	PF50_L10	1e-04	0.997046782748758
